christian mccaffrey
saquon barkley
ezekiel elliott
derrick henry
dalvin cook
alvin kamara
josh jacobs
michael thomas wr
nick chubb
clyde edwards helaire
davante adams
tyreek hill
julio jones
travis kelce
aaron jones
miles sanders
george kittle
chris godwin
kenyan drake
kenny golladay
deandre hopkins
patrick mahomes
austin ekeler
mike evans
mark andrews
chris carson
aj brown
allen robinson
adam thielen
lamar jackson
james conner
dj moore wr
odell beckham
amari cooper
todd gurley
juju smith schuster
calvin ridley
robert woods
jonathan taylor
cooper kupp
terry mclaurin
david johnson rb
tyler lockett
dk metcalf
zach ertz
dj chark
mark ingram
courtland sutton
raheem mostert
leveon bell
dak prescott
keenan allen
russell wilson
darren waller
devante parker
ty hilton
stefon diggs
michael gallup
cam akers
kyler murray
david montgomery
marquise brown
jarvis landry
aj green
leonard fournette
evan engram
will fuller
tyler boyd
matt ryan
josh allen qb
marvin jones
devin singletary
kareem hunt
julian edelman
hunter henry
jordan howard
tyler higbee
dandre swift
carson wentz
drew brees
jk dobbins
hayden hurst
brandin cooks
zack moss
tom brady
diontae johnson
matthew stafford
deebo samuel
jared cook
antonio gibson
marlon mack
jamison crowder
john brown
aaron rodgers
christian kirk
phillip lindsay
ceedee lamb
rob gronkowski
darius slayton
cam newton
ronald jones ii
daniel jones
ben roethlisberger
sterling shepard
matt breida
sony michel
james white
jared goff
tevin coleman
mike gesicki
austin hooper
latavius murray
noah fant
anthony miller
tj hockenson
henry ruggs
preston williams
emmanuel sanders
jonnu smith
kerryon johnson
desean jackson
jerry jeudy
mecole hardman
baker mayfield
dallas goedert
tarik cohen
ryan tannehill
joe burrow
golden tate
mike williams wr
chris herndon iv
alexander mattison
gardner minshew
blake jarwin
boston scott
eric ebron
allen lazard
breshad perriman
duke johnson
jimmy garoppolo
nkeal harry
robby anderson
jack doyle
san francisco defense
jalen reagor
pittsburgh defense
kirk cousins
chase edmonds
curtis samuel
darrell henderson
baltimore defense
brandon aiyuk
tony pollard
sammy watkins
justin jefferson
philip rivers
buffalo defense
drew lock
teddy bridgewater
parris campbell
chris thompson
new england defense
harrison butker
justin tucker
new orleans defense
damien harris rb
joshua kelley
ian thomas
michael pittman
wil lutz
chicago defense
irv smith jr
laviska shenault
derek carr
justin jackson rb
aj dillon
kansas city defense
nyheim hines
greg zuerlein
sam darnold
hunter renfrow
oj howard
minnesota defense
james washington
carlos hyde
greg olsen
los angeles defense
larry fitzgerald
corey davis
randall cobb
steven sims
bryce love rb
robbie gould
adrian peterson min
philadelphia defense
bryan edwards
darrel williams
benjamin snell jr
darrynton evans
dawson knox
tyrod taylor
matt prater
denver defense
tennessee defense
san diego defense
malcolm brown
ryquell armstead
cole beasley
jake elliott
alshon jeffery
indianapolis defense
zane gonzalez
jamaal williams
seattle defense
denzel mims
john ross
kaimi fairbairn
tampa bay defense
dwayne haskins
jerick mckinnon
green bay defense
kyle rudolph
dede westbrook
kenny stills
james robinson
giovani bernard
dallas defense
gerald everett
younghoe koo
miles boykin
dan bailey
russell gage
will dissly
mason crosby
tyler eifert
michael badgley
cleveland defense
keshawn vaughn
jason myers
frank gore
danny amendola
jimmy graham
trequan smith
chris boswell
chris conley
anthony mcfarland
ryan fitzpatrick
marquez valdesscantling
jalen richard
tee higgins
brandon mcmanus
rex burkhead
new york jets defense
chase claypool
josh reynolds
gus edwards
van jefferson
andy isabella
jace sternberger
peyton barber
rashaad penny
jj arcega whiteside
joey slye
devine ozigbo
brian hill
kendrick bourne
houston defense
ito smith
david njoku
mitch trubisky
adam humphries
washington defense
austin seibert
auden tate
josh lambo
lesean mccoy
kj hamler
nick foles
jacksonville defense
zach pascal
antonio gandy golden
demarcus robinson
matt gay
stephen gostkowski
tua tagovailoa
justice hill
detroit defense
atlanta defense
phillip dorsett
daniel carlson
darwin thompson
vance mcdonald
darren fells
royce freeman
carolina defense
dion lewis
olabisi johnson
dustin hopkins
jaylen samuels
ryan succop
willie snead
jakobi meyers
arizona defense
cameron brate
devin duvernay
mike boone
dan arnold
jd mckissic
nelson agholor
cj uzomah
david moore
logan thomas
lamical perine
justin herbert
randy bullock
greg ward
lynn bowden
mohamed sanu
scott miller
jordan akins
devonta freeman
deejay dallas
deandre washington
steven hauschka
las vegas defense
sam sloman
josh gordon
chase mclaughlin
brett maher
cordarrelle patterson
dare ogunbowale
ted ginn jr
devin asiasi
rodrigo blankenship
trey burton
wayne gallman
tyler bass
daesean hamilton
nick boyle
justin rohrwasser
keke coutee
eno benjamin
aldrick rosas
mike davis rb
jakeem grant
patrick laird
miami defense
